Plate,Col,Row,Compound,SMILES
1,43,C,15912434,c1cnc(-c2nc(Cn3cnnc3)cs2)cn1
1,44,C,14621578,Cn1cc(C#N)cc1-c1ncnn1-c1ccc2c(c1)OCO2
1,45,C,DMSO,
1,46,C,DMSO,
1,47,C,DMSO,
1,48,C,DMSO,
1,1,D,DMSO,
1,2,D,DMSO,
1,3,D,DMSO,
1,4,D,DMSO,
1,5,D,44026920,CCC(c1nc(-c2cccnn2)no1)N1Cc2ccccc2C1=O
1,6,D,37425741,COc1ccccc1N1CCN(C(=O)c2cc3cc(C)ccc3[nH]2)CC1=O
1,7,D,74986028,CCn1nc(C)c(C(=O)N2CCCC(C)(Cc3ccc4c(c3)OCO4)C2)c1C
1,8,D,67817494,O=C(NCc1ccccc1Cn1cccn1)c1ccc2cccc(F)c2n1
1,9,D,26901188,COCCC(=O)N1CCC(Oc2ccc(C(=O)NCC(=O)N(C)C)cc2)CC1
1,10,D,19661947,CCN1CC2(CCN(C(=O)c3ccccc3)CC2)CC(c2ccccc2)C1=O
1,11,D,40275650,Cc1cc(C(=O)N2CCCC2c2cccnc2)c2ccc(F)cc2n1
1,12,D,23897942,COc1ccc(C(=O)N2CCOCC2)cc1OC1CCN(C(C)C)CC1
1,13,D,85599707,CSCc1noc(CNc2cc(-c3ccccc3)nc3ccnn23)n1
1,14,D,49291744,Cn1ncc2c(NCc3noc(-c4ccco4)n3)nc(-c3ccncc3)nc21
1,15,D,64711793,Cc1ccc(Cl)c(C(=O)N2CCC3(CCC(=O)N(CCCO)C3)CC2)c1
1,16,D,30134766,Nc1cc(-c2ccc3c(c2)OCCO3)nc(N2CCOCC2)n1
1,17,D,51590950,CCn1nc(C(C)C)cc1C(=O)N1CCCC(Cn2cc(C3CC3)nn2)C1
1,18,D,59170370,Cc1nc(O)cc(CCNC2CCN(c3ncnc4[nH]cnc34)CC2)n1
1,19,D,84274231,Cc1nc2ccc(C(=O)N(C)CCC3CCCCO3)cc2nc1C
1,20,D,40386258,O=C(C1CC12CCCC2)N1CCC(Cn2cc(-c3ccccn3)nn2)CC1
1,21,D,38998794,CC(C)c1cc(NC(=O)NCc2nc(-c3ncccn3)no2)n(C)n1
1,22,D,50652113,O=C(c1ccc2cc[nH]c2c1)N1CCC(n2cc(C3CCCCC3)nn2)CC1
1,23,D,16673617,CN(C)[C@H]1CCN(C(=O)c2ccc(SCCO)cc2)C[C@H]1CCC(=O)O
1,24,D,10539995,CC(O)CN1CC2(CCC1=O)CCN(C(=O)c1ccccc1Cl)CC2
1,25,D,64316038,O=C1C(c2ccccc2)CC2(CCN(c3ccncc3)CC2)CN1C1CC1
1,26,D,96378373,O=C1CCC2(CCCN(c3cnccn3)C2)CN1Cc1ccccn1
1,27,D,28373232,Cn1cccc1-c1cc(C(=O)NCCc2cccc(C(F)(F)F)c2)[nH]n1
1,28,D,50981886,Cc1cc(F)ccc1C(=O)N1CCC2(CCC(=O)N(C3CC3)C2)CC1
1,29,D,59146075,O=C(NCc1cnn2cccnc12)c1coc(CN2CCOCC2)c1
1,30,D,68705342,COCCN1CC2(CCC1=O)CCN(C(=O)c1cc(Cl)ccc1C)CC2
1,31,D,36865954,CCc1nc(CCNc2cc(-c3ccccc3F)nc3ccnn23)no1
1,32,D,88863717,NC(=O)C(=O)N1CCc2[nH]nc(-c3cccc4ccccc34)c2C1
1,33,D,39012495,COc1ccc(C)cc1-c1n[nH]c(C(F)(F)F)n1
1,34,D,51285880,CC(C)N1CCC2(CC1)CC(=O)N(Cc1cc(F)cc(F)c1)C2
1,35,D,56211491,CN(C)C(=O)N1CCn2nc(CNC(=O)CN(C)c3ccccc3)cc2C1
1,36,D,58828394,CCc1cc(NCc2cc(-c3ccccc3F)no2)n2nccc2n1
1,37,D,83318603,COc1ccc2c(c1)cc(C(=O)NCc1nc(N)nc(N(C)C)n1)n2C
1,38,D,81306214,COCCN1CC2(CCC1=O)CCN(C(=O)c1ccc(F)cc1C)CC2
1,39,D,51532169,COCc1ccc(C(=O)N2CCC(CCN3CCCC3=O)CC2)s1
1,40,D,92060628,COc1ccc(F)cc1NC(=O)N1CCC(C(O)CCc2ccccc2)CC1
1,41,D,90248011,Cn1c(Cn2cccn2)nnc1C1CCN(c2ncnc3[nH]cnc23)CC1
1,42,D,47810337,Cc1ncncc1-c1ncnn1Cc1ccc(F)cc1
1,43,D,97939046,COc1ccc2c(C)c(C(=O)N(C)CCc3noc(C)n3)oc2c1
1,44,D,87214358,O=C(C1CC12CCCCC2)N1CCC(Cn2cc(-c3ccccn3)nn2)CC1
1,45,D,DMSO,
1,46,D,DMSO,
1,47,D,DMSO,
1,48,D,DMSO,
1,1,E,DMSO,
1,2,E,DMSO,
